"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 15:09:53 MSK 2022","Mon Sep 05 15:10:00 MSK 2022","7170","","cloud.autotests.tests.MainPage","","cloud.autotests.tests.MainPage","HouseTest","Проверка заголовков в шапке сайта","Проверка сайта catalog-plans.ru)"
"passed","Mon Sep 05 15:13:51 MSK 2022","Mon Sep 05 15:13:58 MSK 2022","6933","","cloud.autotests.tests.MainPage","","cloud.autotests.tests.MainPage","LinkVkontakteTest","Проверка вконтакте ссылки","Проверка сайта catalog-plans.ru)"
"passed","Mon Sep 05 14:47:04 MSK 2022","Mon Sep 05 14:47:20 MSK 2022","16102","","cloud.autotests.tests.GeneratedTests","","cloud.autotests.tests.GeneratedTests","generatedTest","Проверка заголовков в шапке сайта","Проверка сайта catalog-plans.ru)"
"passed","Mon Sep 05 15:16:59 MSK 2022","Mon Sep 05 15:17:06 MSK 2022","6473","","cloud.autotests.tests.MainPage","","cloud.autotests.tests.MainPage","LinkYandexTest","Проверка вконтакте ссылки","Проверка сайта catalog-plans.ru)"
"passed","Mon Sep 05 17:02:12 MSK 2022","Mon Sep 05 17:02:37 MSK 2022","24538","","cloud.autotests.tests.SearchTest","","cloud.autotests.tests.SearchTest","HouseTest","Проверка поиска","Проверка сайта catalog-plans.ru)"
"passed","Mon Sep 05 14:52:38 MSK 2022","Mon Sep 05 14:52:53 MSK 2022","14368","","cloud.autotests.tests.MainPage","","cloud.autotests.tests.MainPage","titleTest","Page title should have header text","Autogenerated test"
"passed","Mon Sep 05 14:53:23 MSK 2022","Mon Sep 05 14:53:29 MSK 2022","5294","","cloud.autotests.tests.MainPage","","cloud.autotests.tests.MainPage","TitleTest","Проверка заголовков в шапке сайта","Проверка сайта catalog-plans.ru)"
"passed","Mon Sep 05 16:59:46 MSK 2022","Mon Sep 05 16:59:54 MSK 2022","7226","","cloud.autotests.tests.HouseTest","","cloud.autotests.tests.HouseTest","HouseTest","Проверка поиска","Проверка сайта catalog-plans.ru)"
